originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2016,regionflow_2017,regionflow_2018,origin_iso,origin_name,destination_iso,destination_name,countryflow_2016,countryflow_2017,countryflow_2018
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,MDA,Moldova,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,TJK,Tajikistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,UZB,Uzbekistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,ARM,Armenia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,AZE,Azerbaijan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,BLR,Belarus,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,GEO,Georgia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,RUS,Russia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MNG,Mongolia,UKR,Ukraine,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,KGZ,Kyrgyzstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,TKM,Turkmenistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,KAZ,Kazakhstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,MDA,Moldova,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,TJK,Tajikistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,UZB,Uzbekistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,ARM,Armenia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,AZE,Azerbaijan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,BLR,Belarus,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,GEO,Georgia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,RUS,Russia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,MYS,Malaysia,UKR,Ukraine,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,KGZ,Kyrgyzstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,TKM,Turkmenistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,KAZ,Kazakhstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,MDA,Moldova,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,TJK,Tajikistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,UZB,Uzbekistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,ARM,Armenia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,AZE,Azerbaijan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,BLR,Belarus,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,GEO,Georgia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,RUS,Russia,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,THA,Thailand,UKR,Ukraine,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,KOR,South Korea,KGZ,Kyrgyzstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,KOR,South Korea,TKM,Turkmenistan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,KOR,South Korea,KAZ,Kazakhstan,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,KOR,South Korea,MDA,Moldova,0,0,0
7,SE Asia,4,Fmr USSR,0,0,0,KOR,South Korea,TJK,Tajikistan,0,0,0
